similarity,pValue,nGenes,treatment,perturbagenID,time,signatureid,cellline,Source_Signature,perturbagen
0.4421,2.5835e-16,311,STAT4,CGS001-6775,96 h,LINCSKD_28827,PC3,LINCSCP_266549,Paroxetine
0.4403,3.5395e-16,311,REL,CGS001-5966,96 h,LINCSKD_28535,PC3,LINCSCP_266549,Paroxetine
0.39,9.7826e-13,311,SOCS2,CGS001-8835,144 h,LINCSKD_26410,PC3,LINCSCP_266549,Paroxetine
0.3745,8.6206e-12,311,STAT1,CGS001-6772,96 h,LINCSKD_28824,PC3,LINCSCP_266549,Paroxetine
0.313,7.3331e-11,414,REL,CGS001-5966,96 h,LINCSKD_20280,HT29,LINCSCP_26831,Paroxetine
-0.29,1e-4,179,IKBKE,CGS001-9641,144 h,LINCSKD_26064,PC3,LINCSCP_273515,Paroxetine
0.5121,6.4036e-47,683,REL,CGS001-5966,96 h,LINCSKD_23956,MCF7,LINCSCP_32897,Paroxetine
0.4619,2.1672e-37,683,NFKB2,CGS001-4791,96 h,LINCSKD_23522,MCF7,LINCSCP_32897,Paroxetine
-0.4301,3.964e-32,683,SOCS2,CGS001-8835,144 h,LINCSKD_21982,MCF7,LINCSCP_32897,Paroxetine
0.4168,4.4598e-30,683,STAT6,CGS001-6778,96 h,LINCSKD_24220,MCF7,LINCSCP_32897,Paroxetine
0.3998,1.3346e-27,683,IKBKB,CGS001-3551,96 h,LINCSKD_23148,MCF7,LINCSCP_32897,Paroxetine
0.4228,5.3067e-13,267,STAT6,CGS001-6778,96 h,LINCSKD_28829,PC3,LINCSCP_44561,Paroxetine
0.3738,2.7938e-10,267,RELB,CGS001-5971,144 h,LINCSKD_26330,PC3,LINCSCP_44561,Paroxetine
0.3531,2.9536e-9,267,IL6,CGS001-3569,144 h,LINCSKD_35960,PC3,LINCSCP_44561,Paroxetine
0.3002,5.7973e-7,267,STAT3,CGS001-6774,96 h,LINCSKD_28826,PC3,LINCSCP_44561,Paroxetine
0.6838,9.9366e-53,373,JAK3,CGS001-3718,120 h,LINCSKD_31401,VCAP,LINCSCP_56419,Paroxetine
0.627,3.8153e-42,373,IKBKE,CGS001-9641,120 h,LINCSKD_31312,VCAP,LINCSCP_56419,Paroxetine
0.5984,1.3293e-37,373,JAK1,CGS001-3716,120 h,LINCSKD_31399,VCAP,LINCSCP_56419,Paroxetine
0.5824,3.0214e-35,373,SOCS4,CGS001-122809,120 h,LINCSKD_32740,VCAP,LINCSCP_56419,Paroxetine
0.4951,1.8332e-24,373,RELB,CGS001-5971,120 h,LINCSKD_32449,VCAP,LINCSCP_56419,Paroxetine
0.3851,7.0548e-15,380,STAT2,CGS001-6773,120 h,LINCSKD_32809,VCAP,LINCSCP_56554,Paroxetine
0.6496,3.6196e-63,516,JAK1,CGS001-3716,96 h,LINCSKD_5223,A549,LINCSCP_6969,Paroxetine
0.5659,5.0446e-45,516,NFKB2,CGS001-4791,96 h,LINCSKD_5655,A549,LINCSCP_6969,Paroxetine
0.5236,1.1357e-37,516,IL6ST,CGS001-3572,96 h,LINCSKD_5167,A549,LINCSCP_6969,Paroxetine
0.5037,1.4877e-34,516,IKBKE,CGS001-9641,96 h,LINCSKD_5138,A549,LINCSCP_6969,Paroxetine
0.5003,4.9493e-34,516,IKBKB,CGS001-3551,96 h,LINCSKD_5137,A549,LINCSCP_6969,Paroxetine
0.4275,2.4485e-24,516,STAT1,CGS001-6772,96 h,LINCSKD_6664,A549,LINCSCP_6969,Paroxetine
0.3004,4.0716e-6,227,RELB,CGS001-5971,96 h,LINCSKD_2676,A375,LINCSCP_75350,Paroxetine
0.3003,4.0959e-6,227,STAT2,CGS001-6773,96 h,LINCSKD_3063,A375,LINCSCP_75350,Paroxetine
0.2436,2e-4,227,IKBKAP,CGS001-8518,96 h,LINCSKD_1513,A375,LINCSCP_75350,Paroxetine
0.3141,1e-4,147,IL6,CGS001-3569,96 h,LINCSKD_1543,A375,LINCSCP_75352,Paroxetine
0.2599,0.0015,147,SOCS4,CGS001-122809,96 h,LINCSKD_2997,A375,LINCSCP_75352,Paroxetine
0.3509,3.0444e-7,202,NFKB1,CGS001-4790,96 h,LINCSKD_2066,A375,LINCSCP_75355,Paroxetine
0.2798,1e-4,202,RELA,CGS001-5970,96 h,LINCSKD_2675,A375,LINCSCP_75355,Paroxetine
0.2751,1e-4,202,TNF,CGS001-7124,96 h,LINCSKD_3241,A375,LINCSCP_75355,Paroxetine
0.2747,1.4687e-6,298,JAK2,CGS001-3717,96 h,LINCSKD_1613,A375,LINCSCP_77000,Paroxetine
0.2201,5e-4,249,STAT4,CGS001-6775,96 h,LINCSKD_11114,HA1E,LINCSCP_93684,Paroxetine
0.208,0.001,249,IKBKAP,CGS001-8518,96 h,LINCSKD_9568,HA1E,LINCSCP_93684,Paroxetine
0.2997,0,183,STAT5A,CGS001-6776,96 h,LINCSKD_11115,HA1E,LINCSCP_93687,Paroxetine
0.2831,1e-4,183,IKBKB,CGS001-3551,96 h,LINCSKD_9569,HA1E,LINCSCP_93687,Paroxetine
0.2724,5.4417e-7,328,RELA,CGS001-5970,96 h,LINCSKD_10726,HA1E,LINCSCP_95330,Paroxetine
0.2794,6.2522e-7,308,STAT5B,CGS001-6777,96 h,LINCSKD_11116,HA1E,LINCSCP_95331,Paroxetine
-0.3429,8.4364e-8,232,SOCS5,CGS001-9655,96 h,LINCSKD_11042,HA1E,LINCSCP_95332,Paroxetine
0.3232,1.1446e-6,217,IKBKG,CGS001-8517,96 h,LINCSKD_7606,ASC,LINCSCP_11031,Dexamethasone
0.3158,2.0626e-6,217,IKBKB,CGS001-3551,96 h,LINCSKD_7604,ASC,LINCSCP_11031,Dexamethasone
0.3692,1.8527e-9,249,STAT5B,CGS001-6777,96 h,LINCSKD_20632,HT29,LINCSCP_124182,Dexamethasone
0.3457,2.1298e-8,249,JAK1,CGS001-3716,96 h,LINCSKD_19315,HT29,LINCSCP_124182,Dexamethasone
0.2313,0.0012,193,NFKB1,CGS001-4790,96 h,LINCSKD_19710,HT29,LINCSCP_124184,Dexamethasone
0.4177,7.646e-17,365,SOCS1,CGS001-8651,96 h,LINCSKD_20559,HT29,LINCSCP_127738,Dexamethasone
0.4043,2.5576e-12,277,SOCS2,CGS001-8835,96 h,LINCSKD_20560,HT29,LINCSCP_127739,Dexamethasone
0.3374,3.3149e-9,292,JAK3,CGS001-3718,96 h,LINCSKD_19317,HT29,LINCSCP_127740,Dexamethasone
0.3017,1.4656e-7,292,NFKB2,CGS001-4791,96 h,LINCSKD_19711,HT29,LINCSCP_127740,Dexamethasone
0.2954,2.7163e-7,292,STAT5A,CGS001-6776,96 h,LINCSKD_20631,HT29,LINCSCP_127740,Dexamethasone
0.293,3.4397e-7,292,IL6ST,CGS001-3572,96 h,LINCSKD_19256,HT29,LINCSCP_127740,Dexamethasone
0.3496,2.1807e-15,485,STAT3,CGS001-6774,96 h,LINCSKD_20629,HT29,LINCSCP_127742,Dexamethasone
0.4187,1.334e-8,170,STAT5B,CGS001-6777,96 h,LINCSKD_35495,MCF7,LINCSCP_140766,Dexamethasone
0.4029,2.2829e-15,357,STAT3,CGS001-6774,96 h,LINCSKD_24217,MCF7,LINCSCP_144323,Dexamethasone
0.3238,3.6962e-10,357,IKBKB,CGS001-3551,96 h,LINCSKD_23148,MCF7,LINCSCP_144323,Dexamethasone
0.2966,1.101e-8,357,REL,CGS001-5966,96 h,LINCSKD_23956,MCF7,LINCSCP_144323,Dexamethasone
0.2995,1.1783e-7,301,SOCS4,CGS001-122809,96 h,LINCSKD_24168,MCF7,LINCSCP_144328,Dexamethasone
0.5174,4.1106e-35,493,REL,CGS001-5966,96 h,LINCSKD_10725,HA1E,LINCSCP_14738,Dexamethasone
-0.4933,1.3382e-31,493,IL6,CGS001-3569,96 h,LINCSKD_9600,HA1E,LINCSCP_14738,Dexamethasone
-0.4561,1.0705e-26,493,JAK3,CGS001-3718,96 h,LINCSKD_9664,HA1E,LINCSCP_14738,Dexamethasone
-0.427,2.8845e-23,493,STAT2,CGS001-6773,96 h,LINCSKD_11112,HA1E,LINCSCP_14738,Dexamethasone
0.313,9.3197e-8,279,IKBKG,CGS001-8517,96 h,LINCSKD_36700,PC3,LINCSCP_158967,Dexamethasone
0.2838,1.4469e-6,279,JAK3,CGS001-3718,96 h,LINCSKD_36727,PC3,LINCSCP_158967,Dexamethasone
0.226,1e-4,279,STAT5B,CGS001-6777,144 h,LINCSKD_36237,PC3,LINCSCP_158967,Dexamethasone
0.2158,3e-4,279,RELA,CGS001-5970,96 h,LINCSKD_28536,PC3,LINCSCP_158967,Dexamethasone
-0.2091,4e-4,279,RELB,CGS001-5971,144 h,LINCSKD_26330,PC3,LINCSCP_158967,Dexamethasone
0.2568,5.3579e-6,306,STAT1,CGS001-6772,96 h,LINCSKD_28824,PC3,LINCSCP_162524,Dexamethasone
0.2727,2.0679e-6,294,STAT6,CGS001-6778,144 h,LINCSKD_26430,PC3,LINCSCP_162526,Dexamethasone
0.2813,2.3293e-6,273,STAT3,CGS001-6774,96 h,LINCSKD_28826,PC3,LINCSCP_162527,Dexamethasone
0.4434,1.4836e-21,418,JAK1,CGS001-3716,96 h,LINCSKD_27721,PC3,LINCSCP_162528,Dexamethasone
0.4192,3.2043e-19,418,JAK2,CGS001-3717,144 h,LINCSKD_35976,PC3,LINCSCP_162528,Dexamethasone
0.4032,8.9421e-18,418,IL6R,CGS001-3570,96 h,LINCSKD_27674,PC3,LINCSCP_162528,Dexamethasone
0.369,6.2289e-15,418,REL,CGS001-5966,96 h,LINCSKD_28535,PC3,LINCSCP_162528,Dexamethasone
0.2887,1.5381e-6,268,NFKB2,CGS001-4791,96 h,LINCSKD_28061,PC3,LINCSCP_162529,Dexamethasone
0.2385,1.9808e-10,694,JAK1,CGS001-3716,96 h,LINCSKD_1612,A375,LINCSCP_176623,Dexamethasone
0.3365,4.1072e-6,179,SOCS1,CGS001-8651,96 h,LINCSKD_2994,A375,LINCSCP_176706,Dexamethasone
-0.5654,5.8436e-39,445,SOCS4,CGS001-122809,96 h,LINCSKD_2997,A375,LINCSCP_179959,Dexamethasone
-0.539,6.7701e-35,445,TNF,CGS001-7124,96 h,LINCSKD_3241,A375,LINCSCP_179959,Dexamethasone
0.6132,5.4983e-33,306,IL6ST,CGS001-3572,96 h,LINCSKD_1545,A375,LINCSCP_180792,Dexamethasone
0.5678,1.6307e-27,306,STAT6,CGS001-6778,96 h,LINCSKD_3068,A375,LINCSCP_180792,Dexamethasone
0.5299,1.5047e-23,306,STAT5A,CGS001-6776,96 h,LINCSKD_3066,A375,LINCSCP_180792,Dexamethasone
0.502,6.1215e-21,306,SOCS2,CGS001-8835,96 h,LINCSKD_2995,A375,LINCSCP_180792,Dexamethasone
0.4902,6.6939e-20,306,IKBKE,CGS001-9641,96 h,LINCSKD_1515,A375,LINCSCP_180792,Dexamethasone
0.2196,4.896e-6,425,IL6ST,CGS001-3572,96 h,LINCSKD_12723,HCC515,LINCSCP_18922,Dexamethasone
0.2372,2.4141e-8,540,STAT5A,CGS001-6776,96 h,LINCSKD_13764,HCC515,LINCSCP_19050,Dexamethasone
0.2331,4.278e-8,540,SOCS5,CGS001-9655,96 h,LINCSKD_13717,HCC515,LINCSCP_19050,Dexamethasone
-0.2382,1.2408e-6,405,SOCS2,CGS001-8835,96 h,LINCSKD_13715,HCC515,LINCSCP_19112,Dexamethasone
0.4297,1.2804e-10,205,STAT1,CGS001-6772,96 h,LINCSKD_7927,ASC,LINCSCP_203976,Dexamethasone
0.2509,0,257,IKBKE,CGS001-9641,96 h,LINCSKD_12703,HCC515,LINCSCP_20448,Dexamethasone
0.2979,0,184,NFKB1,CGS001-4790,96 h,LINCSKD_10096,HA1E,LINCSCP_211777,Dexamethasone
0.2422,9e-4,184,IKBKG,CGS001-8517,96 h,LINCSKD_9571,HA1E,LINCSCP_211777,Dexamethasone
0.4232,1.5167e-12,256,TNF,CGS001-7124,96 h,LINCSKD_11298,HA1E,LINCSCP_212175,Dexamethasone
0.4099,8.5701e-12,256,JAK2,CGS001-3717,96 h,LINCSKD_9663,HA1E,LINCSCP_212175,Dexamethasone
0.4554,5.26e-21,383,IL6ST,CGS001-3572,96 h,LINCSKD_15925,HEPG2,LINCSCP_21539,Dexamethasone
0.3978,5.672e-16,383,IKBKE,CGS001-9641,96 h,LINCSKD_15896,HEPG2,LINCSCP_21539,Dexamethasone
0.3793,1.5021e-14,383,STAT5B,CGS001-6777,96 h,LINCSKD_17318,HEPG2,LINCSCP_21539,Dexamethasone
0.3596,3.906e-13,383,JAK1,CGS001-3716,96 h,LINCSKD_15986,HEPG2,LINCSCP_21539,Dexamethasone
0.3347,1.7761e-11,383,STAT1,CGS001-6772,96 h,LINCSKD_17314,HEPG2,LINCSCP_21539,Dexamethasone
0.3222,1.0591e-10,383,IKBKB,CGS001-3551,96 h,LINCSKD_15895,HEPG2,LINCSCP_21539,Dexamethasone
0.2741,5.0148e-8,383,REL,CGS001-5966,96 h,LINCSKD_16954,HEPG2,LINCSCP_21539,Dexamethasone
0.3393,1.6825e-11,373,STAT1,CGS001-6772,96 h,LINCSKD_13762,HCC515,LINCSCP_217498,Dexamethasone
0.2748,6.9368e-8,373,STAT3,CGS001-6774,96 h,LINCSKD_13763,HCC515,LINCSCP_217498,Dexamethasone
0.6168,6.3855e-26,234,IKBKB,CGS001-3551,96 h,LINCSKD_19225,HT29,LINCSCP_227932,Dexamethasone
0.5852,6.7338e-23,234,IKBKE,CGS001-9641,96 h,LINCSKD_19226,HT29,LINCSCP_227932,Dexamethasone
0.5721,9.7473e-22,234,STAT1,CGS001-6772,96 h,LINCSKD_20628,HT29,LINCSCP_227932,Dexamethasone
0.3255,8.9608e-7,218,NFKB1,CGS001-4790,96 h,LINCSKD_16384,HEPG2,LINCSCP_22867,Dexamethasone
0.3195,1.4574e-6,218,SOCS1,CGS001-8651,96 h,LINCSKD_17248,HEPG2,LINCSCP_22867,Dexamethasone
0.2545,1e-4,218,STAT5A,CGS001-6776,96 h,LINCSKD_17317,HEPG2,LINCSCP_22867,Dexamethasone
0.2381,4e-4,218,IL6R,CGS001-3570,96 h,LINCSKD_15924,HEPG2,LINCSCP_22867,Dexamethasone
0.2604,1.4703e-7,396,STAT2,CGS001-6773,96 h,LINCSKD_28825,PC3,LINCSCP_266218,Dexamethasone
0.6173,1.9058e-21,191,SOCS4,CGS001-122809,96 h,LINCSKD_20561,HT29,LINCSCP_26643,Dexamethasone
0.6058,1.6296e-20,191,SOCS5,CGS001-9655,96 h,LINCSKD_20562,HT29,LINCSCP_26643,Dexamethasone
0.5842,7.2548e-19,191,STAT6,CGS001-6778,96 h,LINCSKD_20633,HT29,LINCSCP_26643,Dexamethasone
0.5338,1.8329e-15,191,REL,CGS001-5966,96 h,LINCSKD_20280,HT29,LINCSCP_26643,Dexamethasone
0.4728,0,76,TNF,CGS001-7124,96 h,LINCSKD_28936,PC3,LINCSCP_271158,Dexamethasone
0.3752,0,130,SOCS5,CGS001-9655,96 h,LINCSKD_28777,PC3,LINCSCP_272035,Dexamethasone
0.6518,1.0138e-46,375,JAK3,CGS001-3718,120 h,LINCSKD_31401,VCAP,LINCSCP_295250,Dexamethasone
0.7536,6.9843e-75,402,SOCS4,CGS001-122809,120 h,LINCSKD_32740,VCAP,LINCSCP_296061,Dexamethasone
0.7176,7.7535e-65,402,NFKB1,CGS001-4790,120 h,LINCSKD_31843,VCAP,LINCSCP_296061,Dexamethasone
-0.6686,2.0169e-53,402,IL6ST,CGS001-3572,120 h,LINCSKD_31340,VCAP,LINCSCP_296061,Dexamethasone
-0.632,3.276e-46,402,NFKB2,CGS001-4791,120 h,LINCSKD_31844,VCAP,LINCSCP_296061,Dexamethasone
0.5905,3.7839e-39,402,RELB,CGS001-5971,120 h,LINCSKD_32449,VCAP,LINCSCP_296061,Dexamethasone
0.5781,1.2577e-39,429,IKBKE,CGS001-9641,96 h,LINCSKD_23149,MCF7,LINCSCP_34210,Dexamethasone
0.5553,4.5404e-36,429,STAT1,CGS001-6772,96 h,LINCSKD_24215,MCF7,LINCSCP_34210,Dexamethasone
-0.5013,1.1303e-28,429,TNF,CGS001-7124,96 h,LINCSKD_24319,MCF7,LINCSCP_34210,Dexamethasone
0.6172,2.5959e-44,409,IKBKG,CGS001-8517,96 h,LINCSKD_25021,NPC,LINCSCP_43609,Dexamethasone
0.5814,2.3144e-38,409,RELB,CGS001-5971,96 h,LINCSKD_25328,NPC,LINCSCP_43609,Dexamethasone
0.5811,2.5968e-38,409,STAT1,CGS001-6772,96 h,LINCSKD_25441,NPC,LINCSCP_43609,Dexamethasone
0.4741,2.6269e-24,409,STAT6,CGS001-6778,96 h,LINCSKD_25442,NPC,LINCSCP_43609,Dexamethasone
0.3347,7.177e-6,172,STAT4,CGS001-6775,96 h,LINCSKD_28827,PC3,LINCSCP_47405,Dexamethasone
0.3039,1e-4,172,IKBKB,CGS001-3551,96 h,LINCSKD_27650,PC3,LINCSCP_47405,Dexamethasone
0.7219,9.4492e-80,488,STAT1,CGS001-6772,120 h,LINCSKD_32808,VCAP,LINCSCP_56433,Dexamethasone
0.6942,2.0108e-71,488,IL6,CGS001-3569,120 h,LINCSKD_31339,VCAP,LINCSCP_56433,Dexamethasone
0.6347,2.1733e-56,488,JAK1,CGS001-3716,120 h,LINCSKD_31399,VCAP,LINCSCP_56433,Dexamethasone
0.6209,2.3347e-53,488,IKBKE,CGS001-9641,120 h,LINCSKD_31312,VCAP,LINCSCP_56433,Dexamethasone
0.6154,3.3654e-52,488,STAT5A,CGS001-6776,120 h,LINCSKD_32812,VCAP,LINCSCP_56433,Dexamethasone
0.597,1.8836e-48,488,STAT2,CGS001-6773,120 h,LINCSKD_32809,VCAP,LINCSCP_56433,Dexamethasone
0.6338,2.1194e-22,187,IKBKAP,CGS001-8518,120 h,LINCSKD_31310,VCAP,LINCSCP_56525,Dexamethasone
0.6275,7.2064e-22,187,TNF,CGS001-7124,120 h,LINCSKD_32982,VCAP,LINCSCP_56525,Dexamethasone
0.5815,2.6356e-18,187,IKBKB,CGS001-3551,120 h,LINCSKD_31311,VCAP,LINCSCP_56525,Dexamethasone
0.5465,5.9553e-16,187,STAT6,CGS001-6778,120 h,LINCSKD_32813,VCAP,LINCSCP_56525,Dexamethasone
0.5035,2.0597e-13,187,STAT4,CGS001-6775,120 h,LINCSKD_32811,VCAP,LINCSCP_56525,Dexamethasone
-0.2493,8e-4,177,JAK2,CGS001-3717,120 h,LINCSKD_31400,VCAP,LINCSCP_56569,Dexamethasone
0.2132,1e-4,348,STAT3,CGS001-6774,120 h,LINCSKD_32810,VCAP,LINCSCP_59060,Dexamethasone
0.3743,2.3968e-15,418,IKBKAP,CGS001-8518,96 h,LINCSKD_5136,A549,LINCSCP_6877,Dexamethasone
0.3067,1.4832e-10,418,NFKB1,CGS001-4790,96 h,LINCSKD_5654,A549,LINCSCP_6877,Dexamethasone
0.5027,1.4908e-23,346,JAK1,CGS001-3716,96 h,LINCSKD_5223,A549,LINCSCP_6974,Dexamethasone
0.4606,1.4146e-19,346,IKBKE,CGS001-9641,96 h,LINCSKD_5138,A549,LINCSCP_6974,Dexamethasone
0.4371,1.4062e-17,346,IL6ST,CGS001-3572,96 h,LINCSKD_5167,A549,LINCSCP_6974,Dexamethasone
0.4322,3.552e-17,346,NFKB2,CGS001-4791,96 h,LINCSKD_5655,A549,LINCSCP_6974,Dexamethasone
0.3481,2.7023e-11,346,IKBKB,CGS001-3551,96 h,LINCSKD_5137,A549,LINCSCP_6974,Dexamethasone
0.322,8.7101e-10,346,STAT1,CGS001-6772,96 h,LINCSKD_6664,A549,LINCSCP_6974,Dexamethasone
-0.3003,1.2157e-8,346,STAT4,CGS001-6775,96 h,LINCSKD_6667,A549,LINCSCP_6974,Dexamethasone
0.3719,6.8092e-19,532,JAK2,CGS001-3717,96 h,LINCSKD_5224,A549,LINCSCP_7263,Dexamethasone
0.3677,1.7719e-18,532,STAT6,CGS001-6778,96 h,LINCSKD_6670,A549,LINCSCP_7263,Dexamethasone
0.3278,8.6696e-15,532,JAK3,CGS001-3718,96 h,LINCSKD_5225,A549,LINCSCP_7263,Dexamethasone
-0.2554,2.9653e-7,392,RELA,CGS001-5970,96 h,LINCSKD_6280,A549,LINCSCP_7401,Dexamethasone
-0.2411,1.3731e-6,392,IL6R,CGS001-3570,96 h,LINCSKD_5166,A549,LINCSCP_7401,Dexamethasone
0.2809,0,218,STAT5B,CGS001-6777,96 h,LINCSKD_3067,A375,LINCSCP_77221,Dexamethasone
0.3237,1.3888e-6,213,STAT1,CGS001-6772,96 h,LINCSKD_3062,A375,LINCSCP_77226,Dexamethasone
0.2495,0,286,STAT3,CGS001-6774,96 h,LINCSKD_6666,A549,LINCSCP_8039,Dexamethasone
0.439,1.0191e-22,452,REL,CGS001-5966,96 h,LINCSKD_2674,A375,LINCSCP_80760,Dexamethasone
0.2979,2.0372e-8,341,RELB,CGS001-5971,96 h,LINCSKD_2676,A375,LINCSCP_80763,Dexamethasone
0.4382,9.9647e-23,454,STAT6,CGS001-6778,96 h,LINCSKD_11117,HA1E,LINCSCP_99103,Dexamethasone
0.5065,6.246e-39,577,STAT3,CGS001-6774,96 h,LINCSKD_11113,HA1E,LINCSCP_99104,Dexamethasone
-0.4541,1.0682e-30,577,SOCS1,CGS001-8651,96 h,LINCSKD_11039,HA1E,LINCSCP_99104,Dexamethasone
0.4302,2.1793e-27,577,NFKB2,CGS001-4791,96 h,LINCSKD_10097,HA1E,LINCSCP_99104,Dexamethasone
0.3935,8.1827e-23,577,JAK1,CGS001-3716,96 h,LINCSKD_9662,HA1E,LINCSCP_99104,Dexamethasone
0.4321,5.5716e-23,474,STAT1,CGS001-6772,96 h,LINCSKD_11111,HA1E,LINCSCP_99105,Dexamethasone
0.276,2.9682e-6,278,IKBKAP,CGS001-8518,96 h,LINCSKD_9568,HA1E,LINCSCP_99106,Dexamethasone
0.2544,0,278,STAT5A,CGS001-6776,96 h,LINCSKD_11115,HA1E,LINCSCP_99106,Dexamethasone
0.3035,2.8801e-8,321,IKBKB,CGS001-3551,96 h,LINCSKD_9569,HA1E,LINCSCP_99107,Dexamethasone
0.4471,3.1272e-14,261,STAT6,CGS001-6778,96 h,LINCSKD_20633,HT29,LINCSCP_127150,Chloroquine
0.3746,4.0496e-10,261,IKBKAP,CGS001-8518,96 h,LINCSKD_19224,HT29,LINCSCP_127150,Chloroquine
0.3504,5.9068e-9,261,REL,CGS001-5966,96 h,LINCSKD_20280,HT29,LINCSCP_127150,Chloroquine
0.2795,4.5121e-6,261,SOCS4,CGS001-122809,96 h,LINCSKD_20561,HT29,LINCSCP_127150,Chloroquine
0.2489,0,261,SOCS2,CGS001-8835,96 h,LINCSKD_20560,HT29,LINCSCP_127150,Chloroquine
0.4071,7.2177e-26,613,IKBKB,CGS001-3551,96 h,LINCSKD_23148,MCF7,LINCSCP_143735,Chloroquine
0.5261,5.7754e-10,121,TNF,CGS001-7124,96 h,LINCSKD_11298,HA1E,LINCSCP_15217,Chloroquine
0.4193,1.6889e-6,121,STAT4,CGS001-6775,96 h,LINCSKD_11114,HA1E,LINCSCP_15217,Chloroquine
0.362,0,121,IL6R,CGS001-3570,96 h,LINCSKD_9601,HA1E,LINCSCP_15217,Chloroquine
0.3306,2e-4,121,STAT5A,CGS001-6776,96 h,LINCSKD_11115,HA1E,LINCSCP_15217,Chloroquine
0.703,1.9894e-15,95,JAK2,CGS001-3717,96 h,LINCSKD_1613,A375,LINCSCP_177116,Chloroquine
0.3406,7e-4,95,RELA,CGS001-5970,96 h,LINCSKD_2675,A375,LINCSCP_177116,Chloroquine
0.3087,1.2885e-7,281,SOCS5,CGS001-9655,96 h,LINCSKD_6597,A549,LINCSCP_201694,Chloroquine
0.2998,3.0355e-7,281,IL6,CGS001-3569,96 h,LINCSKD_5165,A549,LINCSCP_201694,Chloroquine
0.2914,6.6678e-7,281,JAK2,CGS001-3717,96 h,LINCSKD_5224,A549,LINCSCP_201694,Chloroquine
0.314,0,187,SOCS2,CGS001-8835,96 h,LINCSKD_6596,A549,LINCSCP_201862,Chloroquine
0.4857,4.4991e-10,147,IL6,CGS001-3569,96 h,LINCSKD_9600,HA1E,LINCSCP_209113,Chloroquine
0.4649,3.0008e-9,147,IKBKB,CGS001-3551,96 h,LINCSKD_9569,HA1E,LINCSCP_209113,Chloroquine
0.4148,1.7553e-7,147,NFKB1,CGS001-4790,96 h,LINCSKD_10096,HA1E,LINCSCP_209113,Chloroquine
0.394,7.916e-7,147,SOCS5,CGS001-9655,96 h,LINCSKD_11042,HA1E,LINCSCP_209113,Chloroquine
0.3911,9.7102e-7,147,JAK3,CGS001-3718,96 h,LINCSKD_9664,HA1E,LINCSCP_209113,Chloroquine
0.346,0,147,SOCS2,CGS001-8835,96 h,LINCSKD_11040,HA1E,LINCSCP_209113,Chloroquine
0.3427,0,147,JAK2,CGS001-3717,96 h,LINCSKD_9663,HA1E,LINCSCP_209113,Chloroquine
0.4292,1.0898e-9,185,REL,CGS001-5966,96 h,LINCSKD_13493,HCC515,LINCSCP_214699,Chloroquine
0.378,1.1287e-7,185,RELB,CGS001-5971,96 h,LINCSKD_13494,HCC515,LINCSCP_214699,Chloroquine
0.6032,7.7716e-12,106,SOCS2,CGS001-8835,96 h,LINCSKD_13715,HCC515,LINCSCP_215302,Chloroquine
0.6446,9.717e-37,301,JAK1,CGS001-3716,96 h,LINCSKD_15986,HEPG2,LINCSCP_219112,Chloroquine
0.4987,2.5014e-20,301,IKBKE,CGS001-9641,96 h,LINCSKD_15896,HEPG2,LINCSCP_219112,Chloroquine
0.4567,6.4345e-17,301,REL,CGS001-5966,96 h,LINCSKD_16954,HEPG2,LINCSCP_219112,Chloroquine
0.7477,1.2839e-14,75,SOCS4,CGS001-122809,96 h,LINCSKD_24168,MCF7,LINCSCP_236537,Chloroquine
0.7443,1.9557e-14,75,TNF,CGS001-7124,96 h,LINCSKD_24319,MCF7,LINCSCP_236537,Chloroquine
0.4558,1.388e-9,160,NFKB1,CGS001-4790,96 h,LINCSKD_23521,MCF7,LINCSCP_236622,Chloroquine
0.3321,1.9748e-6,196,STAT5A,CGS001-6776,96 h,LINCSKD_24219,MCF7,LINCSCP_250979,Chloroquine
0.3453,1.0622e-7,225,SOCS5,CGS001-9655,96 h,LINCSKD_24169,MCF7,LINCSCP_250983,Chloroquine
0.3983,1.255e-10,242,STAT5B,CGS001-6777,144 h,LINCSKD_34656,MCF7,LINCSCP_251145,Chloroquine
0.4414,3e-4,64,REL,CGS001-5966,96 h,LINCSKD_23956,MCF7,LINCSCP_36350,Chloroquine
-0.4011,0.001,64,SOCS2,CGS001-8835,144 h,LINCSKD_21982,MCF7,LINCSCP_36350,Chloroquine
0.6868,5.3181e-45,313,IKBKE,CGS001-9641,96 h,LINCSKD_23149,MCF7,LINCSCP_36351,Chloroquine
0.5917,6.0402e-31,313,STAT1,CGS001-6772,96 h,LINCSKD_24215,MCF7,LINCSCP_36351,Chloroquine
0.5608,2.5573e-27,313,STAT3,CGS001-6774,96 h,LINCSKD_24217,MCF7,LINCSCP_36351,Chloroquine
0.5116,3.796e-23,326,SOCS2,CGS001-8835,96 h,LINCSKD_25416,NPC,LINCSCP_42816,Chloroquine
-0.5061,1.33e-22,326,IKBKG,CGS001-8517,96 h,LINCSKD_25021,NPC,LINCSCP_42816,Chloroquine
0.5247,5.5042e-10,122,NFKB1,CGS001-4790,96 h,LINCSKD_28060,PC3,LINCSCP_44520,Chloroquine
0.4432,3.1792e-7,122,TNF,CGS001-7124,96 h,LINCSKD_28936,PC3,LINCSCP_44520,Chloroquine
0.4272,1.9238e-7,137,STAT2,CGS001-6773,96 h,LINCSKD_28825,PC3,LINCSCP_45100,Chloroquine
